"state","num_residents_2015_white_nh","num_residents_2015_black_nh","num_residents_2016_white_nh","num_residents_2016_black_nh","num_residents_2017_white_nh","num_residents_2017_black_nh","num_residents_2018_white_nh","num_residents_2018_black_nh","num_residents_2019_white_nh","num_residents_2019_black_nh","num_incarcerated_2015_black_nh","num_incarcerated_2016_black_nh","num_incarcerated_2017_black_nh","num_incarcerated_2018_black_nh","num_incarcerated_2019_black_nh","num_incarcerated_2015_white_nh","num_incarcerated_2016_white_nh","num_incarcerated_2017_white_nh","num_incarcerated_2018_white_nh","num_incarcerated_2019_white_nh","white_incarceration_rate_2015","white_incarceration_rate_2016","white_incarceration_rate_2017","white_incarceration_rate_2018","white_incarceration_rate_2019","black_incarceration_rate_2015","black_incarceration_rate_2016","black_incarceration_rate_2017","black_incarceration_rate_2018","black_incarceration_rate_2019","white_incarceration_rate_2015_2019","black_incarceration_rate_2015_2019","incarceration_RR"
"New Jersey",6530810,1585188,6440790,1582172,6351116,1581412,6256152,1577974,6159892,1576156,12349,12031,11952,11831,NA,4689,4408,4302,4250,NA,71.7981383626227,68.4388095249185,67.7361270050807,67.9331320594512,NA,779.02431762037,760.410372576433,755.780277372374,749.758868016837,NA,68.9765517380183,761.243458896504,11.0362643494822
"New Mexico",1006512,53472,985370,53668,962262,53714,940730,54048,923502,54946,508,NA,506,NA,NA,1754,NA,1832,NA,NA,174.265185114534,NA,190.384739291378,NA,NA,950.029922202274,NA,942.026287373869,NA,NA,182.324962202956,946.028104788071,5.18869217553982
"New York",14616710,3952406,14426014,3934288,14234700,3907272,14042492,3875214,13833670,3835774,25534,24827,24218,22852,21405,12912,12669,12303,11470,10633,88.3372523639041,87.8205164642153,86.429640245316,81.6806589599624,76.8631895946629,646.036869694055,631.041753933622,619.818635610728,589.696465795179,558.036005249527,84.2262515256121,608.925946056622,7.22964556806206
"North Carolina",8435232,2946584,8468880,2975794,8474472,2997536,8482514,3017052,8489094,3031534,18218,17675,17796,16783,16366,13500,13222,13687,13239,12892,160.043019563659,156.124540671258,161.508587201657,156.07401296361,151.865440528754,618.275263830931,593.959124858777,593.687615428138,556.27148620574,539.858698599455,157.123120185787,580.410437784608,3.69398492785984
"North Dakota",859678,27096,845886,30642,833000,32270,824660,34062,818214,34940,139,165,170,186,183,1163,1135,1077,1051,1093,135.283210690514,134.178837337419,129.291716686675,127.446462784663,133.583634599261,512.990847357544,538.476600744077,526.805082119616,546.063061476132,523.755008586148,131.956772419706,529.618120056703,4.01357285681542
"Ohio",12156508,1915028,12065484,1922848,11975944,1929814,11871904,1935810,11765250,1941084,23006,23016,22994,22534,22303,27553,27451,26621,26036,26128,226.652259020436,227.516774296,222.287278564429,219.307703296792,222.077728905038,1201.34013706327,1196.97448784303,1191.51379355731,1164.06052246863,1148.99715828887,223.568348816539,1180.57721984422,5.2806098273464
"Oklahoma",3379242,396844,3354434,397606,3320376,397178,3291430,397236,3270018,397750,2505,2436,1993,1713,1592,3979,3853,3137,2685,2528,117.748299766634,114.862894902687,94.4772519738728,81.5754854273067,77.3084429504669,631.230407918477,612.666810863015,501.790129362654,431.229797903513,400.251414204903,97.1944750041935,515.433712050512,5.3031174048553
"Oregon",4054274,102920,4080480,106692,4081772,109278,4065198,112044,4046702,114808,NA,NA,1366,1438,1439,NA,NA,11248,11063,10749,NA,NA,275.566592156544,272.13926603329,265.62371036958,NA,NA,1250.02287743187,1283.42436899789,1253.3969758205,271.109856186471,1262.28140741675,4.65597756264733
"Pennsylvania",12954074,1864522,12805068,1866842,12650084,1868934,12497984,1873074,12336214,1871654,23591,23005,22420,21792,20866,20661,20807,20679,20408,20013,159.494225523183,162.490351476462,163.469270243581,163.290335465304,162.229675976762,1265.25726164668,1232.29496657992,1199.61432559951,1163.4350805147,1114.84280748472,162.194771737058,1195.08888836511,7.36823311606198
"Rhode Island",1051072,86244,1037650,87740,1023456,88556,1010042,90364,994858,91364,974,933,842,823,791,1419,1332,1231,1191,1170,135.005023442733,128.366983086783,120.278741831598,117.915888646215,117.604723488176,1129.35392607022,1063.3690449054,950.81078639505,910.760922491258,865.767698437021,123.834272099101,984.01247565979,7.94620470553026
"South Carolina",4044184,1789252,4072278,1796128,4093912,1799158,4114256,1800908,4134540,1801224,12894,12511,11921,11206,10854,7189,7486,7149,6960,6856,177.761447055821,183.828314275204,174.625150711593,169.16788843475,165.822558253155,720.63633294807,696.553920433288,662.587721589766,622.241669202425,602.590238637726,174.241071746105,660.921976562255,3.7931468736907
"South Dakota",908540,20222,906474,22642,905088,24820,901556,25478,899894,26736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tennessee",6440456,1521484,6453186,1529852,6469268,1540212,6482266,1547244,6485286,1547920,11937,11756,11707,10484,10418,15591,15820,16625,15222,15293,242.079132285043,245.150225020633,256.984252314172,234.825291032488,235.810726003448,784.562966156726,768.440345863521,760.090169405251,677.591898886019,673.032198046411,242.969925331157,732.743515671586,3.01577865932539
"Texas",15632080,4510174,15616604,4607492,15559498,4696446,15491038,4772474,15448404,4852356,54501,54041,52959,52894,51098,52774,53038,52752,53461,51998,337.600626404164,339.6256958299,339.034074235557,345.109217342311,336.591404523082,1208.40127232342,1172.8940603695,1127.63992176212,1108.31405262763,1053.055464191,339.592203667003,1134.06095425473,3.33947876897307
"Utah",3028184,41672,3074488,44426,3119486,47446,3161240,49520,3202876,51878,372,361,365,382,396,4154,3848,3880,4133,3960,137.177925779939,125.159050872861,124.379465078542,130.739836266781,123.638879556998,892.685736225763,812.587223697835,769.295620284112,771.40549273021,763.329349627973,128.219031511024,801.860684513179,6.2538351371359
"Vermont",780346,10406,770652,10744,762608,11132,755050,11444,747102,11878,172,174,133,156,138,1500,1485,1339,1430,1408,192.222424411735,192.693978605129,175.581688101882,189.391431031058,188.461548757733,1652.89256198347,1619.50856291884,1194.75386273805,1363.15973435862,1161.81175282034,187.670214181507,1398.42529496386,7.45150369792492
"Virginia",7004040,2210708,6952870,2216870,6904168,2224668,6848390,2226774,6798976,2228366,21979,21580,20847,20323,19802,15278,15082,15168,15124,15011,218.131249964306,216.9176181922,219.693379419504,220.840226681016,220.783247359602,994.206380942214,973.444541177426,937.083645739499,912.665587077988,888.633195803562,219.273144323326,941.206670148138,4.29239373135589
"Washington",6711670,381416,6735532,394092,6747204,407662,6728488,420790,6697408,432552,3276,3461,2481,1911,1606,12170,12657,8107,5947,4679,181.325959113008,187.913887128738,120.153473942688,88.3853846510539,69.8628484333044,858.904712964322,878.22132902977,608.592412341597,454.145773426175,371.284839741811,129.528310653758,634.229813500735,4.89645707799041
"West Virginia",2204738,90390,2172330,89592,2137506,88594,2104312,87532,2074942,86990,859,892,866,847,828,6092,6166,6120,5818,5868,276.314011007204,283.842694249953,286.314985782496,276.479913624976,282.803085580223,950.326363535789,995.62460934012,977.492832471725,967.646117991135,951.833544085527,281.15093804897,968.584693484859,3.44507011147213
"Wisconsin",6254122,487582,6208392,489124,6163732,491578,6122012,492766,6077212,493774,9254,9556,9741,9993,9927,10655,10665,10993,10953,10880,170.367639134638,171.783611601845,178.34974006008,178.911769529364,179.029462852374,1897.93716749183,1953.69681307807,1981.57769468935,2027.9402393834,2010.43392321183,175.68844463566,1974.3171675709,11.2376039964677
"Wyoming",650318,9652,641848,9344,629474,9110,621476,8968,617394,8852,131,130,122,126,128,1856,1798,1876,1921,1872,285.398835646561,280.128628584961,298.026606341167,309.102845483977,303.209943731232,1357.23166183174,1391.26712328767,1339.18770581778,1404.9955396967,1446.00090375056,295.173371957579,1387.73658687689,4.70142878293347
